421567;8015;3;131.0
421568;2534;1;138.1
421569;1732;1;202.1
421570;30099;10;168.6
421580;87661;18;80.9
421575;2715;1;128.9
421590;2982;1;117.4
421600;10462;5;167.3
421605;6489;2;129.8
421610;9343;4;149.8
421620;56726;14;87.9
421630;35336;13;128.8
421635;4827;2;253.8
421625;6467;2;108.2
421640;9278;3;113.2
421650;26982;9;116.7
421660;295658;64;76.3
421670;14538;5;122.0
421680;8706;3;120.6
421690;26056;10;134.3
421700;14444;5;139.3
421710;3520;1;99.4
421715;1777;1;197.0
421720;47724;18;132.5
421725;6175;2;126.2
421730;10799;4;129.6
421740;21710;8;129.0
421750;19399;7;126.3
421755;3370;2;207.7
421760;14156;6;160.7
421770;31722;10;110.3
421775;2900;1;120.7
421780;18909;8;148.1
421790;8144;4;171.9
421795;2535;1;138.1
421800;58695;18;112.8
421810;5503;2;127.2
421820;49768;17;119.5
421825;7521;4;186.1
421830;20525;10;170.5
421835;3920;2;178.6
421840;7633;4;183.4
421850;9531;3;110.2
421860;7599;4;184.2
421870;116725;32;102.7
421875;5081;2;137.8
421880;13604;4;141.5
421885;2791;1;125.4
421890;11064;5;181.9
421895;2751;1;127.2
421900;21464;9;146.8
421910;3726;2;187.9
421915;2613;1;133.9
421917;4597;2;152.3
421920;6266;3;167.6
421930;59074;13;93.7
421935;5507;3;190.7
421940;4513;2;155.1
421950;54891;15;95.6
421960;3583;2;195.4
421970;34485;9;91.3
421985;4257;1;82.2
