306465;TROMETAMOL, COMPOSIÇÃO:SAL CETOROLACO, CONCENTRAÇÃO:30 MG/ML, FORMA FARMACÊUTICA;3.6000;4.3974;
308732;ÁCIDO VALPRÓICO, DOSAGEM:50 MG/ML, FORMA FARMACÊUTICA:XAROPE;4.7995;5.8489;
273710;NIMESULIDA, DOSAGEM:100 MG;0.0900;0.3170;
271111;AMOXICILINA, CONCENTRAÇÃO:50MG/ML, APRESENTAÇÃO:PÓ PARA SUSPENSÃO ORAL;4.3900;11.8205;
388392;ROSUVASTATINA, COMPOSIÇÃO:CÁLCICA, CONCENTRAÇÃO:40 MG;4.2550;19.9182;
480079;TRIMETAZIDINA DICLORIDRATO, CONCENTRAÇÃO:80 MG, ADICIONAL:LIBERAÇÃO PROLONGADA;3.8050;3.8936;
268077;CIPROTERONA ACETATO, DOSAGEM:50 MG;3.1600;2.8459;
273167;NEOMICINA, COMPOSIÇÃO:ASSOCIADA COM BACITRACINA, CONCENTRAÇÃO:5MG + 250UI/G, TIP;2.0000;2.4673;
267902;PENTOXIFILINA, DOSAGEM:400 MG, INDICAÇÃO:LIBERAÇÃO PROLONGADA;1.3500;2.3660;
267629;CINARIZINA, DOSAGEM:75 MG;0.3200;0.3283;
268069;CLORPROMAZINA, DOSAGEM:5 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;1.9000;2.1433;
267208;ESTRIOL, DOSAGEM:1 MG/G, APRESENTAÇÃO:CREME VAGINAL;11.7500;13.9501;
267194;DIAZEPAM, DOSAGEM:5 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;0.7684;1.2513;
393339;EXTRATO MEDICINAL, COMPOSIÇÃO:HARPAGOPHYTUM PROCUMBENS DC, CONCENTRAÇÃO:400 MG;2.0000;2.0410;
267328;FOSFATO DE SÓDIO, APRESENTAÇÃO:ENEMA, DOSAGEM:FOSFATO MONOBáSICO 16% + FOSFATO D;5.6300;6.0717;
267728;NIFEDIPINO, DOSAGEM:10 MG;0.1300;0.4928;
274036;PIROXICAM, CONCENTRAÇÃO:20 MG;0.2100;0.6231;
267773;PERMETRINA, DOSAGEM:10 MG/ML, INDICAÇÃO:LOÇÃO;2.0000;2.5591;
267504;ÁCIDO VALPRÓICO, DOSAGEM:250 MG;0.2400;0.3842;
292345;SULFATO FERROSO, DOSAGEM FERRO:25MG/ML DE FERRO II, FORMA FARMACÊUTICA:SOLUÇÃO O;0.9703;1.6581;
279269;VARFARINA SÓDICA, DOSAGEM:5 MG;0.1400;0.3097;
273135;PROPATILNITRATO, DOSAGEM:10 MG;0.4500;0.8213;
335091;ACETILCISTEÍNA, DOSAGEM:100 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL;3.1900;3.8874;
270116;ETOMIDATO, DOSAGEM:2 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;13.7100;14.9101;
268222;BICARBONATO DE SÓDIO, DOSAGEM:8,4%, USO:SOLUÇÃO INJETÁVEL;0.7700;1.1434;
364780;ARIPIPRAZOL, CONCENTRAÇÃO:10 MG;0.4920;1.7651;
270621;ESCOPOLAMINA BUTILBROMETO, APRESENTAÇÃO:ASSOCIADA COM DIPIRONA SÓDICA, DOSAGEM:4;2.2300;3.6634;
442754;GLICLAZIDA, CONCENTRAÇÃO:30 MG, FORMA FARMACÊUTICA:LIBERAÇÃO PROLONGADA;0.1800;0.9411;
437109;VITAMINAS DO COMPLEXO B, COMPOSIÇÃO BÁSICA:B1, B2, B3, B5, B6, B12;0.0400;0.0905;
298548;RETINOL, COMPOSIÇÃO:ASSOCIADA COM COLECALCIFEROL E ÓXIDO DE ZINCO, CONCENTRAÇÃO:;3.6500;6.0370;
449138;VITAMINAS DO COMPLEXO B, COMPOSIÇÃO BÁSICA:B1,B2,B3,B5,B6, FORMA FARMACÊUTICA:SO;3.1950;3.3691;
291771;ESCITALOPRAM OXALATO, DOSAGEM:20 MG;0.4500;1.2293;
276271;MONTELUCASTE SÓDICO, DOSAGEM:10 MG;0.4925;0.9274;
400852;TICAGRELOR, CONCENTRAÇÃO:90 MG;4.4000;9.4974;
294417;LATANOPROSTA, CONCENTRAÇÃO:50 MCG/ML, FORMA FARMACÊUTICA:SOLUÇÃO OFTÁLMICA;16.8550;34.5872;
403131;BUDESONIDA, CONCENTRAÇÃO:50 MCG/DOSE, FORMA FARMACÊUTICA:SUSPENSÃO AQUOSA NASAL,;22.4000;156.7701;
448982;ENOXAPARINA, CONCENTRAÇÃO:100 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL, CARAC;21.8000;28.9960;
442584;NOREPINEFRINA, CONCENTRAÇÃO:2 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL;4.2955;5.4315;
268498;METRONIDAZOL, DOSAGEM:5MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;4.3900;5.1080;
269843;LIDOCAÍNA CLORIDRATO, DOSAGEM:2%, APRESENTAÇÃO:INJETÁVEL;3.9500;7.8019;
268255;EPINEFRINA, DOSAGEM:1MG/ML, USO:SOLUÇÃO INJETÁVEL;1.7200;3.4370;
267540;GLICOSE, CONCENTRAÇÃO:25%, INDICAÇÃO:SOLUÇÃO INJETÁVEL;0.4867;0.5465;
267778;PARACETAMOL, DOSAGEM COMPRIMIDO:500 MG;0.0900;0.4019;
268534;TRAMADOL CLORIDRATO, DOSAGEM:50 MG;0.2200;0.4686;
268481;MIDAZOLAM, DOSAGEM:5 MG/ML, APLICAÇÃO:INJETÁVEL;3.9500;7.5495;
267310;METOCLOPRAMIDA CLORIDRATO, DOSAGEM:5 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;0.5900;0.8676;
270019;GLICONATO DE CÁLCIO, DOSAGEM:10%, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;2.0300;2.3567;
448845;CETOPROFENO, CONCENTRAÇAO:50 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL;1.5385;2.0517;
392118;DIMETICONA, CONCENTRAÇÃO:75 MG/ML, FORMA FARMACEUTICA:EMULSÃO ORAL - GOTAS;1.3900;1.5812;
272379;VENLAFAXINA, COMPOSIÇÃO:SAL CLORIDRATO, CONCENTRAÇÃO:75 MG, APRESENTAÇÃO:LIBERAÇ;0.6445;4.1783;
309436;TRAMADOL CLORIDRATO, DOSAGEM:50 MG, FORMA FARMACÊUTICA:LIBERAÇÃO LENTA;0.2900;14.3509;
604583;ÁCIDO ACETILSALICÍLICO, COMPOSIÇÃO:ASSOCIADO AO CLOPIDOGREL, CONCENTRAÇÃO:100 MG;2.3200;1.6733;
268440;CLARITROMICINA, DOSAGEM:500 MG, APRESENTAÇÃO:INJETÁVEL;28.0000;33.4425;
308738;CIPROFIBRATO, DOSAGEM:100 MG;0.3595;1.9725;
273818;DIOSMINA, COMPOSIÇÃO:ASSOCIADA À HESPERIDINA, CONCENTRAÇÃO:450MG + 50MG;0.4500;6.7053;
305414;EXTRATO MEDICINAL, PRINCÍPIO ATIVO:GINKGO BILOBA, CONCENTRAÇÃO:80 MG;0.2400;0.7131;
448577;MICOFENOLATO, COMPOSIÇÃO:DE SÓDIO, CONCENTRAÇÃO:360 MG;5.8700;6.1536;
448579;MICOFENOLATO, COMPOSIÇÃO:MOFETILA, CONCENTRAÇÃO:500 MG;4.8950;18.4493;
479619;FILTRO TERAPIA RESPIRATÓRIA, APLICAÇÃO:P/ CIRCUITO RESPIRATÓRIO, MODELO:HMEF, TI;10.4500;10.3475;
479621;FILTRO TERAPIA RESPIRATÓRIA, APLICAÇÃO:P/ CIRCUITO RESPIRATÓRIO, MODELO:HMEF, TI;6.2500;6.2500;
327566;ÁCIDO TRANEXÂMICO, DOSAGEM:50 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL;4.4100;5.9457;
268504;ONDANSETRONA CLORIDRATO, DOSAGEM:2 MG/ML, INDICAÇÃO:INJETÁVEL;1.5000;6.5886;
271950;FENTANILA, APRESENTAÇÃO:SAL CITRATO, DOSAGEM:0,05 MG/ML, INDICAÇÃO:SOLUÇÃO INJET;3.8050;4.6218;
