420475;24000;14250;17264;16210;0
420205;115942;28500;4000;71324;0
420170;96000;0;6014;35662;0
421790;72000;14250;23278;68082;0
420540;3556272;518000;355451;907760;0
420140;348000;0;80819;84292;0
421190;1128000;187750;195085;628948;0
421180;78000;14250;6014;25936;0
420340;104000;14250;18042;61598;0
420410;37942;14250;23278;29178;5000
420110;40400;14250;17264;25936;1500
421185;26000;14250;17264;22694;0
420210;264000;0;59362;158858;15000
420785;11942;14250;11250;19452;7500
420720;115942;28500;35306;106986;1500
421360;203652;42750;67144;113470;0
421710;9942;14250;17264;25936;0
420243;40400;14250;6014;29178;0
420270;72000;14250;12028;22694;0
420690;144426;0;67555;136164;0
420900;290400;28500;65376;145890;0
421915;0;14250;27000;0;0
421490;48000;28500;30378;38904;0
421290;153942;42750;78341;116712;0
420100;78000;0;0;68082;0
421795;26000;14250;17264;16210;10000
421145;52000;0;17264;35662;0
420010;179884;28500;33077;145890;0
420917;26000;14250;20814;16210;10000
420640;130000;28500;29292;87534;0
421600;91884;0;24056;74566;0
421260;26000;14250;17264;22694;0
420127;52000;0;12028;32420;0
420253;26000;14250;9021;19452;0
420790;123000;28500;27278;55114;2000
420230;779652;28500;116650;359862;5000
421070;56000;14250;23706;32420;10000
421960;52000;14250;23278;32420;0
421430;24000;14250;40364;22694;0
420080;78000;14250;31610;38904;0
421680;78000;14250;12028;58356;0
420768;83884;14250;26828;61598;0
421090;48000;14250;15250;22694;0
420455;108942;28500;15035;64840;0
420570;370325;59500;39091;136164;15000
421740;192000;28500;6014;74566;0
421875;52000;14250;23278;38904;0
420775;52000;14250;30478;35662;3000
420030;52000;14250;8014;38904;0
420245;201942;28500;65376;126438;4000
420915;63942;14250;26285;42146;0
421189;26000;0;0;19452;0
421350;353325;42750;72347;126438;0
420420;1824000;156750;369892;1176846;7000
420290;1413942;28500;213112;333926;20000
420530;120000;28500;29292;87534;5000
421390;24000;0;0;12968;0
420070;78000;14250;36042;71324;0
421530;104000;14250;29292;61598;0
421380;63942;14250;26285;58356;0
421050;240000;57000;76199;158858;5000
420515;48000;14250;4000;22694;0
420840;144000;28500;24056;116712;2000
421510;130000;14250;12028;90776;0
421690;240000;31000;70748;110228;0
421420;104000;14250;23278;77808;0
421227;37942;14250;26285;45388;0
421900;201942;28500;58406;145890;5000
422000;157200;0;36492;77808;7000
421555;26000;14250;17264;19452;0
421770;240000;28500;47334;165342;0
420710;0;14442;6014;74566;0
421505;26000;0;6014;19452;0
421895;26000;14250;6014;19452;0
421840;67884;42750;29292;51872;0
421240;48000;31000;17264;38904;11500
421003;72000;14250;12028;42146;0
420535;11942;14250;17264;12968;5000
420215;26000;14250;17264;19452;0
420285;48000;14250;17264;25936;0
420490;78000;14250;29292;71324;0
420320;496110;0;54126;136164;10000
421605;37942;0;0;19452;0
420415;0;192;6014;0;0
420700;534300;14250;102068;236666;5000
421850;72000;14250;15578;35662;5000
421830;260000;57000;6014;100502;7500
420445;26000;14250;20271;19452;0
420050;63942;0;12028;45388;0
420520;48000;0;23278;32420;0
420400;97000;14250;26285;38904;0
421920;57942;14250;26285;51872;0
420910;3880956;327750;255462;1523740;0
421730;81942;14250;19264;74566;0
421545;156000;31000;35306;94018;1500
421480;408000;57000;55970;243150;10000
421150;194400;42750;58084;103744;5000
421720;390000;28500;110349;152374;10000
420395;196326;14250;45648;123196;0
421410;24000;14250;24464;19452;0
420545;273942;42750;65376;178310;0
420120;114600;0;10014;64840;0
421085;24000;0;6014;19452;0
421310;48000;0;23278;42146;0
421250;254910;28500;33620;158858;0
421567;78000;14250;32299;61598;0
421630;283884;57000;72126;136164;0
420150;72000;28500;17264;45388;0
421030;89942;14250;0;61598;0
420740;72000;14250;17264;45388;0
420517;43600;14250;9021;25936;5000
420310;78000;16750;23278;51872;0
421520;52000;0;26285;32420;0
420350;89942;16750;45513;74566;5000
421315;26000;0;20814;19452;0
420630;129768;28500;6014;64840;0
420480;177084;0;39794;100502;0
420950;81942;14250;17264;35662;0
421470;100542;14250;26285;61598;0
421700;119142;28500;41320;110228;2000
420090;37942;28500;6014;45388;0
420610;78000;42750;29292;51872;0
421335;52000;0;6014;12968;5000
421165;26000;14250;20814;19452;0
420330;78342;14250;0;61598;0
421160;144000;14250;47334;106986;0
420810;229200;28500;36084;94018;0
421000;130342;31000;12028;81050;5000
421880;108342;28500;23278;106986;10000
420750;743142;71250;51662;116712;5000
421205;26000;14250;9564;3242;0
421200;104000;14250;26285;58356;5000
421825;89942;0;9021;61598;0
421140;37942;14250;17264;29178;5000
420780;130000;0;23278;58356;0
420325;26000;0;9564;22694;0
420440;57942;0;6014;74566;0
421860;81942;14250;0;29178;0
420580;193942;28500;48520;116712;0
420930;834492;0;303680;787806;15000
421760;153300;0;30070;103744;0
421110;104000;14250;20271;68082;0
420419;52000;14250;12028;25936;0
420075;26000;0;6014;12968;0
421400;216000;42750;18042;64840;0
420845;211884;42750;0;90776;0
420770;72000;14250;12028;48630;0
420260;75884;16750;18042;61598;0
421005;11942;14250;20814;12968;5000
421120;199200;14250;30042;94018;0
420895;11942;16750;17264;16210;10000
421670;120000;28500;44327;106986;0
421460;63942;14250;23278;38904;0
420765;96000;14250;30378;74566;7500
420730;422568;57000;82991;304748;0
421835;33942;14250;6014;32420;5000
421970;216000;28500;59362;175068;0
420160;23142;14250;15250;25936;0
420665;37942;14250;20360;38904;0
421940;48000;14250;26464;32420;0
421635;50400;14250;6014;29178;0
420460;1260000;142500;254512;791048;5000
421270;63942;16750;23278;45388;5000
421100;89942;14250;29292;84292;7500
420370;156000;28500;35306;81050;0
420820;1848000;0;38560;1160636;0
420209;26000;14250;17264;16210;0
421610;104000;14250;6014;55114;0
420380;394794;57000;72831;145890;0
420390;81942;0;6014;58356;0
421565;81942;28500;38313;64840;0
421500;253200;42750;74397;142648;0
420980;52000;14250;6014;32420;0
420200;651252;0;107726;376072;0
421870;696852;85500;212334;593286;0
420300;521568;28500;86590;210730;0
421550;35826;0;15035;9726;0
421800;432000;0;98241;298264;0
421440;48000;14250;17264;45388;0
