421480;35764;4730
420530;15262;223
420380;21822;390
421605;4592;43
420850;21151;8921
421950;26239;1558
421260;7351;397
421100;7542;4
420960;16230;1322
421000;17230;6
420209;1378;59
420120;10702;55
420260;12582;112
420515;8099;771
421550;32208;95
421120;19678;1566
420455;10725;770
421780;15111;193
420470;8532;32
420460;33022;2442
421140;8421;330
420790;7164;82
421090;698;38
420400;10091;1560
420810;18817;36
420055;550;53
421410;1346;111
420390;12447;90
421567;11094;308
420480;30872;602
420300;21991;708
420895;909;84
421535;767;9
420060;1379;6
420760;8889;5
421590;1788;3
420690;13358;2435
421270;8804;1144
420160;625;7
420665;1057;44
420010;7497;611
421790;800;7
420080;10795;5
421370;14505;384
420350;8885;9
420250;10857;1631
421850;3786;75
421450;9631;1538
421917;2330;54
420205;15681;7329
420270;491;2
421910;2858;146
421610;11302;167
421310;125;0
420775;4721;85
420500;13713;4
421030;9702;50
420630;28571;1518
420220;15830;131
420780;1234;113
420310;8793;4
420430;12694;7
420445;313;15
420640;1061;2
421055;571;49
421690;11516;1429
420170;12413;3
420040;3686;88
421570;2118;13
421710;2342;167
420660;7110;278
421330;25693;231
421020;1258;106
421050;10481;46
421540;9628;72
420570;5167;376
421890;11501;3283
420770;19136;367
421660;4706;144
421360;1650;49
420917;406;37
420985;3707;79
420419;1171;161
421350;18810;2138
420245;27317;1085
420940;32867;282
420230;15899;110
421860;11003;84
420710;21515;1794
421930;28580;500
420208;5132;117
420765;7969;870
421885;500;25
420090;1451;20
420280;18596;285
421190;62190;2384
421920;9407;224
421840;1130;1
421010;37697;1317
420475;3261;14
421970;12550;97
421507;11267;56
420510;8478;1383
421085;10870;614
421575;265;18
421600;20101;2165
420070;5001;541
420675;417;5
421940;5847;169
421290;16227;200
420540;54686;3847
421650;17880;498
420543;8424;147
420150;2045;46
420440;385;16
420180;1304;106
421005;761;10
421560;870;7
421223;8067;73
420100;1335;15
421335;1014;0
421390;429;2
421300;1303;1
421227;553;62
420420;39271;4956
421185;415;31
420900;1968;0
420757;691;5
421460;7795;24
421520;6360;310
421880;14477;1269
420768;657;52
421640;1823;10
420680;1005;6
421189;870;2
421110;11641;512
420210;18309;108
421530;13848;411
420415;987;2
421490;9275;104
420750;34156;4252
420257;610;8
420560;6068;533
421825;390;4
421265;927;7
420417;1050;1
421635;628;5
421440;8273;976
421430;830;37
420520;983;56
420020;10484;455
421187;83;0
420920;445;0
421205;3828;2
421225;11273;2914
421750;7605;78
421895;2468;24
421935;5690;101
421960;515;47
421680;5946;4
420915;5659;1379
420253;644;18
420800;843;69
421415;1055;8
420410;602;16
420243;7372;1
421470;3692;240
420860;864;6
420980;3994;225
420740;13917;17
420030;100;10
420050;110;0
420190;150;2
421160;1149;6
421760;325;7
420670;2158;0
420125;10716;2703
421180;591;1
421040;165;0
420700;2081;34
421250;17073;187
420340;1398;4
420990;350;11
421510;300;4
420545;800;8
420215;50;0
420950;250;10
421830;5234;1836
421165;125;0
421003;684;0
420207;24685;107
420240;151250;3790
420840;61597;9223
421580;25145;37
421125;4028;285
420517;4601;3
420285;6620;712
421820;19134;15
421400;20123;2042
421070;443;2
422000;11674;702
421755;326;62
421700;19924;0
420845;28408;13
421625;13872;39
420290;59737;5350
421730;18212;834
420590;40092;1799
421500;19108;890
420140;46501;218
420425;7830;419
421620;65223;63
421555;1355;89
420890;38739;630
420650;33828;3590
420870;14430;0
421770;12089;4
421565;1564;5
421380;8778;302
420880;14008;400
420075;255;23
420435;3626;286
421170;9866;95
420370;19107;10492
420450;15706;839
421150;9518;3641
420360;23784;2627
421060;9229;68
420200;24064;557
420730;13308;5327
421740;13405;55
420165;121;5
421835;3082;677
420930;42030;643
420005;4919;553
420195;11431;849
421875;5744;209
421900;12163;254
420610;7029;735
421220;9966;1984
420550;9750;758
420785;210;1
421320;36800;154
421568;2835;33
421240;98;20
421080;4220;240
421800;41773;6198
421630;20559;10463
421670;13411;146
420910;93153;2866
420287;1238;125
420820;112139;1839
420320;12004;1961
420395;910;7
420110;4446;0
421795;706;5
420970;11746;3594
420325;931;1
420315;334;0
421720;35208;3007
420490;11174;11
421280;25152;50
420130;28243;886
421420;9638;29
420213;1105;10
420519;195;5
421870;32285;3351
420830;88768;5124
421105;1120;0
420330;2835;14
420555;208;4
421175;19412;7005
421200;15074;67
421340;9338;84
420580;9508;1628
421810;5410;126
421715;238;59
421915;1013;41
420127;1069;6
421505;152;8
420945;621;39
421230;11729;423
421210;305;4
421985;1505;108
421130;19715;225
421725;2051;397
420720;10365;126
