421890;Penta (DTP/HepB/Hib);2025;0.9065
421890;Penta (DTP/HepB/Hib);2026;0.6286
421890;Penta (DTP/HepB/Hib);2015;0.6880
421890;Penta (DTP/HepB/Hib);2016;0.8345
421890;Penta (DTP/HepB/Hib);2017;1.0288
421890;Penta (DTP/HepB/Hib);2018;0.6544
421890;Penta (DTP/HepB/Hib);2019;0.5603
421890;Penta (DTP/HepB/Hib);2020;0.9716
421890;Penta (DTP/HepB/Hib);2021;0.8102
421890;Penta (DTP/HepB/Hib);2022;1.2788
421890;Rotavírus;2023;1.0473
421890;Rotavírus;2024;0.9424
421890;Rotavírus;2025;0.8849
421890;Rotavírus;2026;0.6286
421890;Rotavírus;2015;0.6800
421890;Rotavírus;2016;0.9568
421890;Rotavírus;2017;1.0000
421890;Rotavírus;2018;0.6985
421890;Rotavírus;2019;0.7305
421890;Rotavírus;2020;0.9716
421890;Rotavírus;2021;0.8905
421890;Rotavírus;2022;1.2115
421890;Hepatite B (<= 1 dia);2024;0.3597
421890;Hepatite B (<= 1 dia);2025;0.2374
421890;Hepatite B (<= 1 dia);2026;0.2571
421890;Hepatite B (<= 2 dias);2024;0.4317
421890;Hepatite B (<= 2 dias);2025;0.3165
421890;Hepatite B (<= 2 dias);2026;0.3286
421890;Polio Injetável (VIP)(Reforço);2025;1.0216
421890;Polio Injetável (VIP)(Reforço);2026;0.5143
421890;Pneumocócica Conjugada;2024;1.0072
421890;Pneumocócica Conjugada;2025;0.9281
421890;Pneumocócica Conjugada;2026;0.6429
421890;Pneumocócica Conjugada (1° Reforço);2024;1.1439
421890;Pneumocócica Conjugada (1° Reforço);2025;0.9712
421890;Pneumocócica Conjugada (1° Reforço);2026;0.7857
421890;Pneumo 20;2026;0.0429
421890;Pneumo 20 (1° Reforço);2026;0.0571
421890;Meningocócica Conjugada (1° Reforço);2024;1.1583
421890;Meningocócica Conjugada (1° Reforço);2025;0.9712
421890;Meningocócica Conjugada (1° Reforço);2026;0.8286
421890;Meningocócica Conjugada (1° Reforço);2015;0.7200
421890;Meningocócica Conjugada (1° Reforço);2016;0.8705
421890;Meningocócica Conjugada (1° Reforço);2017;0.9209
421890;Meningocócica Conjugada (1° Reforço);2018;0.7132
421890;Meningocócica Conjugada (1° Reforço);2019;0.8156
421890;Meningocócica Conjugada (1° Reforço);2020;1.0355
421890;Meningocócica Conjugada (1° Reforço);2021;0.8978
421890;Meningocócica Conjugada (1° Reforço);2022;1.5000
421890;Polio Injetável (VIP) (Reforço);2015;0.4640
421890;Polio Injetável (VIP) (Reforço);2016;0.9281
421890;Polio Injetável (VIP) (Reforço);2017;0.9281
421890;Polio Injetável (VIP) (Reforço);2018;0.6103
421890;Polio Injetável (VIP) (Reforço);2019;0.8582
421890;Polio Injetável (VIP) (Reforço);2020;0.8227
421890;Polio Injetável (VIP) (Reforço);2021;0.8978
421890;Polio Injetável (VIP) (Reforço);2022;1.3269
421650;BCG;2023;1.0354
421650;BCG;2024;0.9093
421650;BCG;2025;0.9249
421650;BCG;2026;0.9548
421650;BCG;2015;0.8783
421650;BCG;2016;0.6802
421650;BCG;2017;0.8347
421650;BCG;2018;0.8136
421650;BCG;2019;0.9280
421650;BCG;2020;1.0637
421650;BCG;2021;0.8560
421650;BCG;2022;0.8938
421650;Hepatite B (< 30 Dias);2023;1.0450
421650;Hepatite B (< 30 Dias);2024;0.9482
421650;Hepatite B (< 30 Dias);2025;0.8886
421650;Hepatite B (< 30 Dias);2026;0.9153
421650;Hepatite B (< 30 Dias);2015;0.9046
