420475;72729
420205;231272
420170;142000
421790;185310
420540;6021779
420140;551097
421190;2444144
421180;127716
420340;201530
420410;123026
420110;101215
421185;81300
420210;552180
420785;65435
420720;294258
421360;447739
421710;70867
420243;101902
420270;123801
420690;358508
420900;553938
421915;47795
421490;148283
421290;403594
420100;150231
421795;84981
421145;107243
420010;396160
420917;88619
420640;280815
421600;195693
421260;82325
420127;98682
420253;70159
420790;241067
420230;1364443
421070;137762
421960;123746
421430;103035
420080;165731
421680;166975
420768;190593
421090;102256
420455;225376
420570;636973
421740;311845
421875;130951
420775;142502
420030;116396
420245;440505
420915;149804
421189;46940
421350;610507
420420;3774177
420290;2147587
420530;276046
421390;37816
420070;229770
421530;212936
421380;178348
421050;581050
420515;90793
420840;335644
421510;261743
421690;464895
421420;225005
421227;125864
421900;450381
422000;287275
421555;78194
421770;520869
420710;105808
421505;52672
421895;67080
421840;195583
421240;148827
421003;143375
420535;62350
420215;78311
420285;107560
420490;197160
420320;754573
421605;141111
420415;10923
420700;923764
421850;162710
421830;441193
420445;80979
420050;124396
420520;106245
420400;186560
421920;153460
420910;6496410
421730;195377
421545;324665
421480;847023
421150;439174
421720;744336
420395;391823
421410;83330
420545;577619
420120;195634
421085;50732
421310;121927
421250;494231
421567;190152
421630;600745
420150;167758
421030;169531
420740;151959
420517;99573
420310;173094
421520;113064
420350;241678
421315;69495
420630;242333
420480;338076
420950;154419
421470;208237
421700;324575
420090;122113
420610;205089
421335;77593
421165;81840
420330;160579
421160;322614
420810;399160
421000;267042
421880;283851
420750;1030385
421205;54374
421200;214813
421825;164290
421140;106356
420780;216870
420325;59570
420440;158995
421860;129138
420580;397576
420930;2111588
421760;294133
421110;210464
420419;105728
420075;45904
421400;352423
420845;378978
420770;150935
420260;178023
421005;65867
421120;347174
420895;73063
421670;317585
421460;144376
420765;227533
420730;895696
421835;93570
421970;503779
420160;80380
420665;116221
421940;123372
421635;118968
420460;2645596
421270;169257
421100;230341
420370;307608
420820;3226449
420209;74548
421610;184017
420380;698752
420390;158629
421565;218776
421500;532912
420980;106360
420200;1210256
421870;1645849
420300;913969
421550;68403
421800;892108
421440;134662
420920;58373
420417;106098
420207;240568
421060;277519
420220;294162
420208;90920
420360;501557
420880;500257
420850;499801
421320;626721
420830;1060428
420600;398576
420960;361315
421775;82874
421750;305233
421450;167641
420590;978785
420060;186221
420650;544182
421930;602106
421507;127587
421175;213512
421040;101031
420213;143830
421535;128856
420055;85773
421625;135612
420940;782612
420315;85039
421660;2633096
421950;491268
420165;58003
420130;703081
421780;407830
420757;86298
420990;233401
420560;114279
421640;189498
421725;133204
421170;447960
420180;90763
421917;110684
420257;74835
420890;952461
421935;128848
421340;229982
420020;223826
420519;63641
421230;230729
421080;165404
421415;83300
421650;440539
421105;223450
420190;144612
421560;86031
420670;388414
420970;165649
420435;111782
420280;680270
421568;85028
421370;306532
421010;1042504
420555;59469
421300;75458
421890;265718
420240;4815650
421715;73053
420543;66067
421223;109645
421020;88999
420660;116369
420675;72746
421820;702049
421220;323822
420550;576436
421210;306931
420945;63120
421810;95665
421569;63091
421055;79308
421985;76246
420860;106896
420985;80494
420620;263822
420870;205526
420250;98915
420425;364802
420760;87212
421910;121804
421265;187383
420800;182685
420430;613888
421280;619873
421540;60865
420040;124303
421755;87761
421575;77506
421885;84839
421187;74719
420287;50637
421125;53194
421590;62782
421620;573893
420510;125627
420470;224534
420450;222324
421580;879130
421570;660131
421330;118872
421130;1039744
420005;61014
421225;172488
420680;100604
420125;259571
420500;362608
420195;233940
