420540;73
420930;35
421800;10
420810;4
421720;9
420240;56
420400;3
420890;25
421280;8
421640;4
421105;2
420080;3
421680;3
420970;3
420430;13
421770;14
421190;35
421120;7
421950;14
421780;9
420550;13
420450;3
420460;34
420640;7
420940;9
421370;7
420820;23
421870;34
421170;11
420420;38
420010;7
421900;9
420690;5
420990;3
421625;2
421380;6
420300;18
421920;3
421660;26
421565;5
420140;21
420910;81
421010;11
421050;6
420720;4
421755;2
420880;8
420845;2
421825;3
421060;5
421250;8
421760;4
420675;1
421200;1
420290;18
421100;5
421820;8
420200;24
421410;1
421480;23
420090;2
420960;5
420610;4
420900;6
421545;2
420850;6
420280;12
421110;2
421570;5
420285;2
420180;2
420370;2
421450;5
421420;4
421320;9
420020;3
420730;15
421300;1
420205;3
420590;14
421690;6
420570;4
420915;2
420770;3
421140;1
421150;3
420830;17
420395;7
420660;3
420950;2
420700;11
421415;2
421310;3
420750;6
421915;1
420760;2
421227;1
421360;4
420790;3
421175;5
421750;4
421730;2
421000;2
421710;2
420380;10
421740;4
420215;1
420480;11
420260;4
421220;5
421470;3
421130;13
421500;5
421700;5
420160;2
420985;3
421030;3
420455;4
421265;4
420840;3
420340;2
421040;3
421350;5
421290;7
421560;1
421580;13
420800;3
420360;9
420320;8
421650;4
421930;7
420030;2
420445;1
420650;4
420230;7
420425;6
421840;3
421210;5
420500;2
420040;3
421550;6
420519;1
420390;4
421875;1
421620;6
420440;4
421890;4
421160;6
420245;5
420130;2
420620;3
421670;7
420670;4
421440;1
421080;1
420530;5
420195;1
420545;5
421830;6
420220;4
420127;2
421260;2
421340;4
421600;3
420257;1
421850;2
420490;2
420207;2
420270;1
420350;2
420070;4
420870;4
421400;5
421205;1
420580;3
420780;1
421510;3
421540;2
420210;8
421790;4
421530;4
421970;6
420470;1
420125;1
421225;1
420100;1
421810;3
421985;1
421880;3
421020;1
421240;3
420980;2
420060;3
421917;2
421860;2
420710;2
421223;1
420250;1
420410;2
420630;3
421630;4
421490;3
421270;3
420310;2
421520;1
421185;1
420120;2
420917;1
421003;2
421090;2
421330;1
420055;1
421725;1
421085;1
421315;1
421567;3
421165;1
421180;1
422000;3
421575;1
420517;1
421230;1
420150;3
421835;1
421940;2
421145;2
420050;1
420665;2
421895;1
420560;1
421507;2
420213;1
420209;1
420775;1
420740;1
420680;1
420243;1
421390;1
421430;1
420075;2
421187;1
421910;2
421505;1
420170;2
420287;1
420757;1
420600;1
421460;1
420005;1
421555;1
420860;1
420110;1
421795;1
420895;1
420330;1
420515;1
421935;1
420510;1
421590;1
421055;2
420325;1
421885;1
420315;1
421005;1
421605;1
420417;0
421189;0
420415;0
421335;0
420555;0
420475;0
420543;0
420535;0
421568;0
421569;0
420435;0
421535;0
420765;0
420208;0
420165;0
421960;0
420920;0
421070;0
420253;0
420768;0
421610;0
420945;0
420520;0
421715;0
420785;0
421775;0
421635;0
420190;0
420419;0
421125;0
